"Palta", 1112.02, 448
"Rabanito", 188.47, 315
"Calabaza", 21.92, 752
"Cereza", 1015.73, 166
"Naranja", 11.51, 980
"Frutilla", 294.18, 249
"Kiwi", 395.56, 380
"Naranja", 16.27, 920
"Frambuesa", 2088.73, 117
"Caqui", 795.74, 110
"Uva", 686.14, 306
"Uva", 694.45, 312
"Kinoto", 34.97, 174
"Manzana", 129.90, 1020
"Ciruela", 917.84, 1044
"Pomelo", 55.78, 1044
"Papa", 17.73, 1140
"Brocoli", 354.78, 396
"Berenjena", 48.84, 504
"Pomelo", 50.73, 909
"Ciruela", 972.42, 738
"Palta", 1133.12, 464
"Caqui", 865.93, 116
"Lima", 1038.77, 240
"Pepino", 37.95, 560
"Naranja", 12.93, 1170
"Limon", 323.25, 749
"Durazno", 150.91, 752
"Tomate", 727.55, 783
"Pepino", 38.34, 475
"Cebolla", 62.32, 720
"Apio", 44.67, 261
"Ciruela", 948.47, 1044
"Choclo", 60.68, 252
"Cereza", 1001.37, 182
"Durazno", 261.27, 752
"Durazno", 281.53, 792
"Durazno", 304.75, 928
"Choclo", 49.90, 315
"Alcachofa", 143.01, 270
"Mandarina", 22.55, 1180
"Banana", 60.31, 1170
"Melon", 119.14, 348
"Ajo", 908.02, 83
"Kiwi", 451.94, 464
"Higo", 2592.64, 92
"Uva", 718.56, 243
"Frambuesa", 2078.21, 87
"Melon", 95.41, 376
"Mandarina", 28.94, 910
"Palta", 492.32, 450
"Lima", 1200.94, 166
"Tomate", 729.29, 1017
"Apio", 64.17, 288
"Esparrago", 618.37, 178
"Calabaza", 15.49, 840
"Tomate", 751.64, 720
"Brocoli", 378.73, 432
"Cebolla", 62.00, 944
"Zuccini", 72.13, 684
"Palta", 1152.11, 468
"Manzana", 130.42, 900
"Kiwi", 423.92, 416
"Pepino", 38.52, 505
"Esparrago", 655.71, 236
"Palta", 1189.35, 396
"Morron", 2962.10, 576
"Ajo", 892.54, 107
"Higo", 2547.18, 93
"Batata", 16.22, 1150
"Ciruela", 897.41, 720
"Ciruela", 908.41, 1017
"Melon", 110.52, 456
"Uva", 694.74, 240
"Naranja", 20.49, 800
"Morron", 3020.14, 582
"Naranja", 7.23, 1200
"Frambuesa", 2022.33, 94
"Tomate", 732.76, 990
"Champignon", 3675.44, 89
"Tomate", 787.02, 738
"Ajo", 879.32, 96
"Papa", 16.33, 970
"Champignon", 3646.66, 82
"Apio", 37.14, 342
"Pera", 170.02, 1030
"Lima", 1297.25, 190
"Durazno", 181.82, 904
"Ciruela", 956.34, 738
"Caqui", 844.44, 97
"Lechuga", 47.33, 765
"Naranja", 10.90, 1110
"Banana", 56.62, 1130
"Acelga", 28.01, 1008
"Kiwi", 411.37, 464
"Palta", 1134.62, 420
"Uva", 744.66, 282
"Esparrago", 622.06, 210
"Limon", 324.20, 679
